module_code,capacity
SOCI-060,15
SOCI-060,15
SOCI-060,15
SOCI-060,15
SOCI-100,60
SOCI-100,15
SOCI-100,15
SOCI-100,15
SOCI-100,15
SOCI-104,30
SOCI-104Q,30
SOCI-105,15
SOCI-105,15
SOCI-112,65
SOCI-117,30
SOCI-120T,60
SOCI-122,115
SOCI-123,75
SOCI-125,75
SOCI-126,50
SOCI-134,45
SOCI-135,100
SOCI-137,145
SOCI-138,135
SOCI-140,70
SOCI-140K,70
SOCI-141,95
SOCI-142,150
SOCI-143V,165
SOCI-145,56
SOCI-148,75
SOCI-150,65
SOCI-156,70
SOCI-173,85
SOCI-180,60
SOCI-187,40
SOCI-188D,65
SOCI-188E,40
SOMC-220,160
SOMC-220,160
SOMC-220,160
SOMC-221,160
SOMC-221,160
SOMC-221,160
SOMC-222,160
SOMC-222,160
SOMC-222,160
SOMC-223,160
SOMC-223,160
SOMC-223,160
SOMC-231,160
SOMC-231,160
SOMC-231,160
SOMC-232,160
SOMC-232,160
SOMC-232,160
SOMC-233,160
SOMC-233,160
SOMC-233,160
SOMC-234,160
SOMC-234,160
SOMC-234,160
SOMC-235,160
SOMC-235,160
SOMC-235,160
SOMC-244,10
SOMC-245A,160
SOMC-245A,160
SOMC-246A,160
SOMC-246A,160
SOMC-246A,160
SOMC-247A,160
SOMC-247A,160
SOMC-247A,160
SOMC-248A,160
SOMC-251A,160
SOMC-251A,160
SOMC-251A,160
SOMC-252A,160
SOMC-252A,160
SOMC-252A,160
SOMC-253A,160
SOMC-253A,160
SOMC-254A,160
SOMC-255A,160
SOMC-255A,160
SOMC-256A,160
SOMC-256A,160
SOMC-256A,160
SOMC-400B,160
SOMI-296,10
SOMI-296,5
SOMI-421,10
SPPS-200B,99
SPPS-212A,99
SPPS-212A,99
SPPS-213A,99
SPPS-219,99
SPPS-231,99
SPPS-231,99
SPPS-232,99
SPPS-232,99
SPPS-233,99
SPPS-233,99
SPPS-251,99
SPPS-264A,99
SPPS-267,25
SPPS-267,25
SPPS-270A,99
SPPS-270A,99
SPPS-271,99
SPPS-278,99
SPPS-400A,99
SPPS-400A,96
SPPS-400B,96
SPPS-400B,96
SPPS-401A,97
SPPS-401A,95
SPPS-401B,99
SPPS-401B,99
SPPS-402,98
SPPS-402,95
SPPS-402E,99
SPPS-402E,99
SPPS-403,99
SPPS-403,99
SPPS-406,99
SPPS-406,99
SPPS-407,99
SPPS-407,99
SPPS-408,99
SPPS-408,99
SPPS-409,99
SPPS-409,99
SPPS-410,99
SPPS-410,99
SPPS-411,99
SPPS-411,99
SPPS-412,99
SPPS-412,99
SPPS-413,99
SPPS-413,99
SPPS-414,99
SPPS-414,99
SPPS-415,99
SPPS-415,99
SPPS-416,99
SPPS-416,99
SPPS-418,99
SPPS-418,99
SPPS-419,99
SPPS-419,99
SPPS-421,99
SPPS-421,99
SPPS-422,99
SPPS-422,99
SPPS-423,99
SPPS-423,99
SPPS-424,99
SPPS-424,99
SPPS-425,99
SPPS-425,99
SPPS-426,99
SPPS-426,99
SPPS-427,99
SPPS-427,99
SPPS-428,99
SPPS-428,99
SPPS-429,99
SPPS-429,99
SPPS-430,99
SPPS-430,99
SPPS-431,99
SPPS-431,99
SPPS-432,99
SPPS-432,99
SPPS-433,99
SPPS-433,99
SPPS-434,99
SPPS-434,99
SPPS-435,99
SPPS-435,99
SPPS-436,99
SPPS-436,99
SPPS-437,99
SPPS-437,99
SPPS-438,99
SPPS-438,99
SPPS-440,99
SPPS-440,99
SPPS-441,99
SPPS-441,99
SPPS-442,99
SPPS-442,99
SPPS-447,99
SPPS-447,99
SPPS-496,99
SPPS-496,99
SPPS-503,99
SURG-296,5
