term_code,module_code,class_name,course_title,section_code,instruction_type_name,capacity,enrolled,seats_available,waitlist_capacity,waitlist_enrolled,waitlist_available,status,is_cancelled,instructors_text
FA26,ANTH-023,ANTH 023,Debating Multiculturalism,001-006-DI,discussion,32,0,32,,,,AC,false,Alexander Stewart
FA26,ANTH-030,ANTH 030,Decolonizing the Body,001-000-SE,se,30,0,30,,,,AC,false,Saiba Varma
FA26,ANTH-087,ANTH 087,Freshman Seminar,001-000-SE,se,15,0,15,,,,AC,false,David Jordan
FA26,ANTH-087,ANTH 087,Freshman Seminar,002-000-SE,se,15,0,15,,,,AC,false,David Jordan
FA26,ANTH-101,ANTH 101,Foundations/Social Complexity,001-000-LE,lecture,120,0,120,,,,AC,false,Paul Goldstein
FA26,ANTH-101,ANTH 101,Foundations/Social Complexity,001-001-DI,discussion,30,0,30,,,,AC,false,Paul Goldstein
FA26,ANTH-101,ANTH 101,Foundations/Social Complexity,001-002-DI,discussion,30,0,30,,,,AC,false,Paul Goldstein
FA26,ANTH-101,ANTH 101,Foundations/Social Complexity,001-003-DI,discussion,30,0,30,,,,AC,false,Paul Goldstein
FA26,ANTH-101,ANTH 101,Foundations/Social Complexity,001-004-DI,discussion,30,0,30,,,,AC,false,Paul Goldstein
FA26,ANTH-105,ANTH 105,Climate Change, Race,& Inequal,001-000-LE,lecture,80,0,80,,,,AC,false,
FA26,ANTH-107,ANTH 107,Dsgn:Disasters,Emerg,Weather,001-000-LE,lecture,30,0,30,,,,AC,false,Steven Parish
FA26,ANTH-108,ANTH 108,IndigPpls, Develop,& ClimChng,001-000-LE,lecture,40,0,40,,,,AC,false,Julia Sloane
FA26,ANTH-196A,ANTH 196A,Honors Studies in Anthropology,001-000-SE,se,15,0,15,,,,AC,false,Geoffrey Braswell
FA26,ANTH-203,ANTH 203,Introduction to Anthropogeny,001-000-LE,lecture,15,0,15,,,,AC,false,Pascal Gagneux
FA26,ANTH-212,ANTH 212,Adv Topics in Biological Anthr,002-000-SE,se,10,0,10,,,,AC,false,Keolu Fox
FA26,ANTH-230,ANTH 230,Department Colloquium,001-000-SE,se,20,0,20,,,,AC,false,Pascal Gagneux
FA26,ANTH-241,ANTH 241,Ling Anth Workshop,001-000-SE,se,5,0,5,,,,AC,false,Rihan Yeh
FA26,ANTH-273,ANTH 273,Colloquium in Science Studies,001-000-SE,se,10,0,10,,,,AC,false,Kerry Mckenzie
FA26,ANTH-278,ANTH 278,Anthropological Methods,001-000-SE,se,10,0,10,,,,AC,false,Bonnie Kaiser Bonnie Kaiser
FA26,ANTH-280A,ANTH 280A,Core Seminar in Social Anthro,001-000-SE,se,15,0,15,,,,AC,false,Aftab Jassal
FA26,ANTH-280D,ANTH 280D,Core Sem/Anthro Archaeology,001-000-SE,se,10,0,10,,,,AC,false,Isabel Rivera-Collazo
FA26,ANTH-281A,ANTH 281A,Proseminar,001-000-SE,se,15,0,15,,,,AC,false,Zachary Dunseth
FA26,ANTH-285,ANTH 285,Grants Writing Practicum,001-000-PR,pr,10,0,10,,,,AC,false,Guillermo Algaze
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,001-000-TU,tu,8,0,8,,,,AC,false,Guillermo Algaze
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,002-000-TU,tu,8,0,8,,,,AC,false,Geoffrey Braswell
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,003-000-TU,tu,5,0,5,,,,AC,false,Suzanne Brenner
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,004-000-TU,tu,8,0,8,,,,AC,false,Thomas Csordas
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,005-000-TU,tu,5,0,5,,,,AC,false,Zachary Dunseth
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,006-000-TU,tu,8,0,8,,,,AC,false,Keolu Fox
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,007-000-TU,tu,8,0,8,,,,AC,false,Pascal Gagneux
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,008-000-TU,tu,8,0,8,,,,AC,false,Paul Goldstein
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,009-000-TU,tu,6,0,6,,,,AC,false,Joseph Hankins
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,010-000-TU,tu,8,0,8,,,,AC,false,Aftab Jassal
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,011-000-TU,tu,8,0,8,,,,AC,false,Janis Jenkins
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,012-000-TU,tu,8,0,8,,,,AC,false,Nayeli Jiménez Cano
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,013-000-TU,tu,8,0,8,,,,AC,false,Bonnie Kaiser
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,014-000-TU,tu,8,0,8,,,,AC,false,Dredge Kang
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,015-000-TU,tu,8,0,8,,,,AC,false,Maria Marchetto
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,016-000-TU,tu,8,0,8,,,,AC,false,Amy Non
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,017-000-TU,tu,8,0,8,,,,AC,false,Steven Parish
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,018-000-TU,tu,8,0,8,,,,AC,false,David Pedersen
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,019-000-TU,tu,8,0,8,,,,AC,false,Isabel Rivera-Collazo
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,020-000-TU,tu,8,0,8,,,,AC,false,Ekaterini Semendeferi
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,021-000-TU,tu,6,0,6,,,,AC,false,Saiba Varma
FA26,ANTH-295,ANTH 295,Master's Thesis Preparation,022-000-TU,tu,8,0,8,,,,AC,false,Rihan Yeh
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,001-000-TU,tu,8,0,8,,,,AC,false,Geoffrey Braswell
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,002-000-TU,tu,8,0,8,,,,AC,false,Maria Marchetto
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,003-000-TU,tu,8,0,8,,,,AC,false,Isabel Rivera-Collazo
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,004-000-TU,tu,8,0,8,,,,AC,false,Saiba Varma
FA26,ANTH-296,ANTH 296,Dissertation Fieldwork Prep,005-000-TU,tu,8,0,8,,,,AC,false,Guillermo Algaze
