module_code,capacity
LIPO-001DX,14
LISL-001A,14
LISL-001A,14
LISL-001A,14
LISL-001A,14
LISL-001A,14
LISL-001A,14
LISL-001AR,15
LISL-001AR,15
LISL-001AR,15
LISL-001AX,28
LISL-001AX,28
LISL-001AX,28
LISL-001B,14
LISL-001B,14
LISL-001B,14
LISL-001B,14
LISL-001B,14
LISL-001B,14
LISL-001BX,28
LISL-001BX,28
LISL-001BX,28
LISL-001D,14
LISL-001D,14
LISL-001D,14
LISL-001D,14
LISL-001DX,28
LISL-001DX,28
LISP-001A,14
LISP-001A,14
LISP-001A,14
LISP-001A,14
LISP-001A,14
LISP-001A,14
LISP-001A,14
LISP-001AX,28
LISP-001AX,28
LISP-001AX,21
LISP-001AX,21
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001B,15
LISP-001BX,30
LISP-001BX,30
LISP-001BX,30
LISP-001BX,30
LISP-001BX,30
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001D,15
LISP-001DX,30
LISP-001DX,30
LISP-001DX,30
LISP-001DX,30
LISP-001DX,30
LISP-015,20
LISP-018,20
LTAF-120,40
LTAM-110,40
LTAM-120,40
LTCH-101,40
LTCO-201,15
LTCS-010,40
LTCS-087,20
LTCS-110,50
LTCS-130,40
LTCS-165,40
LTCS-170,40
LTCS-250,15
LTEA-110A,40
LTEA-138,225
LTEA-140,40
LTEA-143,75
LTEN-022,56
LTEN-022,28
LTEN-022,28
LTEN-028,224
LTEN-028,28
LTEN-028,28
LTEN-028,28
LTEN-028,28
LTEN-028,28
LTEN-028,28
LTEN-028,28
LTEN-028,28
LTEN-110,40
LTEN-117,40
LTEN-125,40
LTEN-148,40
LTEN-179,25
LTEN-185,25
LTEN-258,15
LTEN-259,15
LTEU-110,40
LTEU-141,50
LTEU-150A,30
LTFR-002A,28
LTFR-104,15
LTGK-001,40
LTGK-103,40
LTGM-002A,25
LTIT-002A,25
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-001A,30
LTKO-002A,30
LTKO-002A,30
LTKO-002A,30
LTKO-002A,30
LTKO-002A,30
LTKO-002A,30
LTKO-130F,25
LTLA-001,40
LTLA-100,40
LTRU-001A,30
LTRU-001A,30
LTRU-002A,25
LTRU-002A,25
LTRU-104B,20
LTRU-104B,20
LTRU-110A,10
LTSP-002A,28
LTSP-002A,28
LTSP-002B,28
LTSP-002B,28
LTSP-002C,28
LTSP-002C,28
LTSP-002F,28
LTSP-003F,28
LTSP-003F,28
LTSP-087,20
LTSP-087,20
LTSP-100A,28
LTSP-100F,28
LTSP-100F,28
LTSP-116,40
LTSP-145,28
LTSP-175,28
LTSP-192,20
LTTH-115,40
LTTH-210A,15
LTTH-250,15
LTWL-012,40
LTWL-100,40
LTWL-101,40
LTWL-110B,40
LTWL-172,40
LTWL-180,40
LTWL-194,40
LTWL-500,9999
LTWL-500,9999
LTWL-500,9999
LTWL-500,9999
LTWL-500,9999
LTWL-500,9999
LTWL-500,9999
LTWL-500,9999
LTWR-008A,112
LTWR-008A,28
LTWR-008A,112
LTWR-008A,28
LTWR-008A,28
LTWR-008A,28
LTWR-008B,112
LTWR-008B,28
LTWR-008B,112
LTWR-008B,28
LTWR-008B,28
LTWR-008B,28
LTWR-100W,15
LTWR-102W,15
LTWR-103C,30
LTWR-106C,30
LTWR-113C,30
LTWR-115C,30
LTWR-126W,15
LTWR-148,40
