module_code,capacity
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-299,9999
CHEM-509,90
CHEM-509,10
CHIN-010AD,26
CHIN-010AD,13
CHIN-010AD,13
CHIN-010AM,32
CHIN-010AM,16
CHIN-010AM,16
CHIN-010AN,28
CHIN-010AN,14
CHIN-010AN,14
CHIN-010AN,28
CHIN-010AN,14
CHIN-010AN,14
CHIN-010AN,24
CHIN-010AN,12
CHIN-010AN,12
CHIN-020AD,30
CHIN-020AD,15
CHIN-020AD,15
CHIN-020AM,20
CHIN-020AM,10
CHIN-020AM,10
CHIN-020AM,26
CHIN-020AM,13
CHIN-020AM,13
CHIN-020AN,28
CHIN-020AN,14
CHIN-020AN,14
CHIN-020AN,28
CHIN-020AN,14
CHIN-020AN,14
CHIN-020AN,15
CHIN-020AN,15
CHIN-100AM,20
CHIN-100AN,30
CHIN-185A,20
CLIN-294A,6
CLIN-296,80
CLIN-296,6
CLIN-297,60
CLRE-254,65
CLRE-254,35
CLRE-255,60
CLRE-255,60
CLRE-256,65
CLRE-256,65
CLRE-256,35
CLRE-256,35
CLRE-257,65
CLRE-257,65
CLRE-258,25
CLRE-258,25
CLRE-260,9999
CLRE-295A,45
CLRE-297,9999
COGR-200A,5
COGR-200C,5
COGR-201B,10
COGR-225C,10
COGR-262,10
COGR-275,10
COGR-500,10
COGR-500,10
COGR-500,10
COGR-500,1
COGR-500,1
COGS-001,410
COGS-001,53
COGS-001,53
COGS-001,54
COGS-001,50
COGS-001,50
COGS-001,50
COGS-001,50
COGS-001,50
COGS-009,245
COGS-009,50
COGS-009,50
COGS-009,50
COGS-009,50
COGS-009,45
COGS-010,277
COGS-010,50
COGS-010,50
COGS-010,50
COGS-010,50
COGS-010,50
COGS-010,50
COGS-011,60
COGS-011,60
COGS-014A,348
COGS-014A,50
COGS-014A,50
COGS-014A,50
COGS-014A,50
COGS-014A,50
COGS-014A,50
COGS-014A,48
COGS-014B,250
COGS-014B,50
COGS-014B,50
COGS-014B,50
COGS-014B,50
COGS-014B,50
COGS-015,120
COGS-015,60
COGS-015,60
COGS-017,410
COGS-017,50
COGS-017,50
COGS-017,50
COGS-017,50
COGS-017,50
COGS-017,50
COGS-017,54
COGS-017,56
COGS-018,315
COGS-018,35
COGS-018,35
COGS-018,35
COGS-018,35
COGS-018,35
COGS-018,35
COGS-018,35
COGS-018,35
COGS-018,35
COGS-018,196
COGS-018,22
COGS-018,22
COGS-018,22
COGS-018,22
COGS-018,22
COGS-018,22
COGS-088,20
COGS-101A,350
COGS-101A,50
COGS-101A,50
COGS-101A,50
COGS-101A,50
COGS-101A,50
COGS-101A,50
COGS-101A,50
COGS-107A,200
COGS-107A,50
COGS-107A,50
COGS-107A,50
COGS-107A,50
COGS-108,192
COGS-108,48
COGS-108,48
COGS-108,48
COGS-108,48
COGS-108,328
COGS-108,50
COGS-108,55
COGS-108,55
COGS-108,56
COGS-108,56
COGS-108,56
COGS-109,140
COGS-109,50
COGS-109,50
