module_code,capacity
PEDS-430,10
PEDS-431,10
PEDS-432,10
PEDS-433,10
PEDS-433T,10
PEDS-434,10
PEDS-434T,10
PEDS-435,10
PEDS-435T,10
PEDS-437,10
PEDS-437T,10
PEDS-496,10
PEDS-496,5
PH-045,140
PH-045,35
PH-045,35
PH-045,35
PH-045,35
PH-050,80
PH-090,30
PH-091,60
PH-091,40
PH-101,60
PH-102,60
PH-102,30
PH-102,30
PH-110,60
PH-120R,80
PH-120R,80
PH-130,80
PH-157,15
PH-161,60
PH-191,40
PH-193,110
PH-258,15
PH-259,10
PH-270,10
PH-280,10
PH-400,60
PH-400,60
PH-401,60
PH-417R,12
PH-427,12
PH-429,12
PH-433,18
PH-441,16
PH-442,15
PH-491,12
PHAR-236,15
PHB-221,40
PHB-224,25
PHB-227,25
PHB-243A,25
PHB-243A,25
PHB-244A,40
PHB-280,75
PHB-281,65
PHIL-001,40
PHIL-010,180
PHIL-010,45
PHIL-010,45
PHIL-010,45
PHIL-010,45
PHIL-013,132
PHIL-013,33
PHIL-013,33
PHIL-013,33
PHIL-013,33
PHIL-027,300
PHIL-027,75
PHIL-027,75
PHIL-027,75
PHIL-027,75
PHIL-028,264
PHIL-028,33
PHIL-028,33
PHIL-028,33
PHIL-028,33
PHIL-028,33
PHIL-028,33
PHIL-028,33
PHIL-028,33
PHIL-035,70
PHIL-051,132
PHIL-051,33
PHIL-051,33
PHIL-051,33
PHIL-051,33
PHIL-087,20
PHIL-110,45
PHIL-120,45
PHIL-134,40
PHIL-136,40
PHIL-142,40
PHIL-147,40
PHIL-153,40
PHIL-159,40
PHIL-167,40
PHIL-168,40
PHIL-173,40
PHIL-176,40
PHIL-191A,1
PHIL-191A,2
PHIL-191A,1
PHIL-191B,1
PHIL-195P,99999
PHIL-195P,5
PHIL-195P,1
PHIL-195P,1
PHIL-195P,1
PHIL-195P,1
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-199,9999
PHIL-202,20
PHIL-209C,10
PHIL-210,20
PHIL-220,20
PHIL-271,9999
PHIL-275,9999
PHIL-277,9999
PHIL-278,9999
PHIL-280,9999
PHIL-281,9999
PHIL-282,9999
PHIL-283,9999
PHIL-284,20
PHIL-286,9999
PHIL-287,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-290,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-295,9999
PHIL-299,9999
PHIL-299,9999
