module_code,capacity
DOC-001,4
DOC-001,256
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,256
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-001,4
DOC-100D,25
DOC-100D,25
DOC-500,30
DSC-010,200
DSC-010,200
DSC-010,60
DSC-010,140
DSC-010,130
DSC-010,130
DSC-010,130
DSC-010,200
DSC-010,200
DSC-010,60
DSC-010,140
DSC-010,130
DSC-010,130
DSC-010,130
DSC-020,120
DSC-020,120
DSC-030,90
DSC-030,90
DSC-040A,210
DSC-040A,210
DSC-040B,150
DSC-040B,150
DSC-080,210
DSC-080,210
DSC-095,20
DSC-095,20
DSC-102,147
DSC-102,146
DSC-106,90
DSC-106,90
DSC-106,90
DSC-106,90
DSC-123A,90
DSC-123A,15
DSC-123A,15
DSC-123A,15
DSC-123A,15
DSC-123A,15
DSC-123A,15
DSC-123A,70
DSC-123A,18
DSC-123A,18
DSC-123A,17
DSC-123A,17
DSC-140A,120
DSC-140A,120
DSC-180A,300
DSC-180A,300
DSC-180A,300
DSC-190,65
DSC-190,65
DSC-190,60
DSC-190,60
DSC-190,30
DSC-190,30
DSC-198,30
DSC-200,70
DSC-204A,90
DSC-210,150
DSC-212,145
DSC-240,100
DSC-242,90
DSC-261,90
DSC-291,60
DSC-291,40
DSC-291,20
DSC-293,9999
DSC-295,50
DSC-500,9999
DSC-599,50
DSE-200,30
DSE-203,20
DSE-250,20
DSE-290,30
DSGN-001,102
DSGN-001,50
DSGN-001,52
DSGN-100,50
DSGN-100,50
DSGN-119,100
DSGN-201,30
DSGN-219,15
ECE-005,168
ECE-005,28
ECE-005,28
ECE-005,28
ECE-005,28
ECE-005,28
ECE-005,28
ECE-015,250
ECE-015,125
ECE-015,125
ECE-017,65
ECE-017,65
ECE-018,50
ECE-018,50
ECE-025,120
ECE-025,120
ECE-025,30
ECE-025,30
ECE-025,30
ECE-025,30
ECE-030,90
ECE-030,90
ECE-030,30
ECE-030,30
ECE-030,30
ECE-035,340
ECE-035,170
ECE-035,30
ECE-035,170
ECE-035,30
ECE-035,30
ECE-035,20
ECE-035,30
ECE-035,30
ECE-035,30
ECE-035,30
ECE-035,20
ECE-035,30
ECE-035,30
ECE-035,30
ECE-045,120
ECE-045,120
ECE-065,120
ECE-065,120
ECE-065,30
ECE-065,30
ECE-065,30
ECE-065,30
ECE-101,190
ECE-101,95
ECE-101,95
ECE-102,100
ECE-102,100
ECE-102,20
ECE-102,20
ECE-102,20
ECE-102,20
ECE-102,20
ECE-103,60
ECE-103,60
ECE-107,100
ECE-107,100
ECE-108,90
ECE-108,90
ECE-108,90
ECE-109,146
ECE-109,146
ECE-111,75
ECE-111,75
ECE-116,30
ECE-116,30
ECE-121A,72
ECE-121A,72
ECE-121A,24
ECE-121A,24
ECE-121A,24
ECE-128A,75
ECE-135A,40
ECE-135A,40
ECE-148,25
