module_code,capacity
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NANO-299,9999
NEU-299,5
NEU-299,5
NEU-401,50
NEU-426T,10
NEU-427T,10
NEU-496,5
NEU-496,5
NEUG-200A,10
NEUG-200A,10
NEUG-210,10
NEUG-210,10
NEUG-221,12
NEUG-265,10
NEUG-276,23
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,5
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,9999
NEUG-299,999
NEUG-299,999
NEUG-299,999
NEUG-299,999
NEUG-299,999
NEUG-299,999
NEUG-299,999
NEUG-299,9999
NEUG-299,9999
OBG-401,50
OBG-428,10
OBG-429,10
OBG-430,10
OBG-432,10
OBG-496,5
OBG-496,5
OBG-496,5
OBG-496,4
OBG-496,5
OBG-496,4
OBG-496,5
OBG-496,5
OPTH-296,5
OPTH-296,5
OPTH-299,5
OPTH-299,5
OPTH-410,10
OPTH-412,10
OPTH-425,10
OPTH-426,10
OPTH-427,10
OPTH-496,5
OPTH-496,5
OPTH-496,5
OPTH-496,5
OPTH-496,5
ORTH-296,5
ORTH-296,5
ORTH-299,5
ORTH-299,5
ORTH-425,10
ORTH-426,10
ORTH-428,10
ORTH-429,10
ORTH-430,10
ORTH-431,10
ORTH-435,10
ORTH-436,10
ORTH-450,10
ORTH-496,5
ORTH-496,5
PAE-210,30
PAE-220,30
PAE-221,30
PAE-222,30
PAE-223,30
PAE-224,30
PAE-224,30
PAE-225,30
PAE-225,30
PAE-226,30
PAE-400,30
PAE-410,30
PAE-411,30
PAE-412,30
PAE-420,30
PAE-430,30
PAE-440,30
PAE-450,30
PAE-451,30
PAE-452,30
PAE-453,30
PAE-489,30
PAE-491,30
PATH-296,5
PATH-299,5
PATH-401A,10
PATH-401B,10
PATH-401C,10
PATH-401S,10
PATH-410,10
PATH-411,10
PATH-412,10
PATH-413,10
PATH-426,10
PATH-427,10
PATH-428,10
PATH-496,10
PEDS-296,5
PEDS-296,5
PEDS-299,5
PEDS-299,5
PEDS-299,5
PEDS-401,50
PEDS-424,10
PEDS-424T,10
PEDS-426,10
PEDS-427,10
PEDS-428,10
PEDS-429,10
