module_code,capacity
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CENG-299,9999
CGS-002A,100
CGS-002A,25
CGS-002A,25
CGS-002A,25
CGS-002A,25
CGS-087,20
CGS-087,20
CGS-100A,35
CGS-101,40
CGS-111,50
CGS-112,18
CGS-113,35
CGS-134,40
CGS-150,16
CGS-190,7
CGS-198,1
CGS-500,1
CGS-500,1
CGS-500,1
CHEM-004,360
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,360
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-004,40
CHEM-006A,72
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,72
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,72
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,72
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,72
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,72
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,72
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006A,8
CHEM-006B,144
CHEM-006B,24
CHEM-006B,24
CHEM-006B,24
CHEM-006B,24
CHEM-006B,24
CHEM-006B,24
CHEM-006B,143
CHEM-006B,24
CHEM-006B,24
CHEM-006B,24
CHEM-006B,24
CHEM-006B,24
CHEM-006B,23
CHEM-006C,380
CHEM-006C,38
CHEM-006C,38
CHEM-006C,38
CHEM-006C,38
CHEM-006C,38
CHEM-006C,38
CHEM-006C,38
CHEM-006C,38
CHEM-006C,38
CHEM-007L,285
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,21
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,285
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,21
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,236
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,20
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
CHEM-007L,24
