module_code,capacity
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,9999
MATH-299,9999
MATH-299,9999
MATH-299,9999
MATH-299,9999
MATH-299,9999
MATH-299,9999
MATH-299,9999
MATH-500,99
MATH-500,99
MATS-201A,50
MATS-202,50
MATS-227,50
MATS-236,25
MATS-251A,50
MATS-257,20
MATS-295,9999
MATS-295,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MATS-299,9999
MBC-258,25
MCWP-040,3
MCWP-040,3
MCWP-040,3
MCWP-040,3
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040,4
MCWP-040C,4
MCWP-040C,4
MCWP-040C,4
MCWP-040C,4
MCWP-040C,4
MCWP-040R,4
MCWP-040R,4
MCWP-040R,4
MCWP-050,2
MCWP-050,2
MCWP-050,2
MCWP-050,2
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-125,5
MCWP-500,10
MED-252,35
MED-262,35
MED-264,37
MED-271,30
MED-271,30
MED-277,35
MED-278,20
MED-296,5
MED-296,5
MED-296,5
MED-296,5
MED-296,5
MED-296,5
MED-296,5
MED-299,20
MED-299,5
MED-401,50
MED-410,10
MED-426,10
MED-426T,10
MED-429,10
MED-429T,10
MED-430,10
MED-430T,10
MED-431,10
MED-431T,10
MED-432,10
MED-433,10
MED-433T,10
MED-434,10
MED-434T,10
MED-435,10
MED-435T,10
MED-438,10
MED-438T,10
MED-442,10
MED-444,10
MED-452,10
MED-453,10
MED-453T,10
MED-454,8
MED-455,10
MED-455T,10
