module_code,capacity
BIMM-122,62
BIMM-143,48
BIMM-143,48
BIMM-143,48
BIMM-143,48
BIMM-143R,48
BIMM-143R,48
BIOM-200A,25
BIOM-200B,26
BIOM-200B,26
BIOM-201,25
BIOM-201,25
BIOM-202,25
BIOM-202,25
BIOM-202,25
BIOM-203A,22
BIOM-218,12
BIOM-242,25
BIOM-293,17
BIOM-296,22
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,10
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIOM-298,7
BIPN-100,219
BIPN-100,55
BIPN-100,55
BIPN-100,55
BIPN-100,54
BIPN-100,219
BIPN-100,55
BIPN-100,55
BIPN-100,55
BIPN-100,54
BIPN-100,219
BIPN-100,55
BIPN-100,55
BIPN-100,55
BIPN-100,54
BIPN-100,219
BIPN-100,55
BIPN-100,55
BIPN-100,55
BIPN-100,54
BIPN-103,48
BIPN-103,48
BIPN-103,48
BIPN-103,48
BIPN-103,48
BIPN-103,48
BIPN-105,84
BIPN-105,21
BIPN-105,21
BIPN-105,21
BIPN-105,21
BIPN-118,115
BIPN-118,29
BIPN-118,29
BIPN-118,29
BIPN-118,28
BIPN-140,296
BIPN-140,74
BIPN-140,74
BIPN-140,74
BIPN-140,74
BIPN-145,48
BIPN-145,48
BIPN-145,48
BIPN-145,48
BIPN-145,48
BIPN-145,48
BIPN-148,192
BIPN-148,192
BIPN-150,145
BIPN-150,36
BIPN-150,36
BIPN-150,36
BIPN-150,37
BIPN-189,25
BIPN-194,32
BISP-182,9999
BISP-194,32
BISP-194,32
BISP-195P,50
BISP-195P,50
BISP-195P,50
BISP-195P,50
BISP-195P,50
BISP-195P,50
BNFO-281,100
BNFO-283,60
BNFO-298,100
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
BNFO-299,9999
