module_code,capacity
MATH-020E,26
MATH-020E,26
MATH-020E,26
MATH-020E,26
MATH-031AH,15
MATH-031AH,5
MATH-031AH,5
MATH-031AH,5
MATH-087,20
MATH-096,30
MATH-100A,60
MATH-100A,30
MATH-100A,30
MATH-100A,60
MATH-100A,30
MATH-100A,30
MATH-102,100
MATH-102,25
MATH-102,25
MATH-102,25
MATH-102,25
MATH-103A,70
MATH-103A,35
MATH-103A,35
MATH-103A,70
MATH-103A,35
MATH-103A,35
MATH-103A,70
MATH-103A,35
MATH-103A,35
MATH-104A,35
MATH-104A,35
MATH-105,70
MATH-105,35
MATH-105,35
MATH-109,30
MATH-109,15
MATH-109,15
MATH-109,30
MATH-109,15
MATH-109,15
MATH-109,30
MATH-109,15
MATH-109,15
MATH-109,30
MATH-109,15
MATH-109,15
MATH-111A,35
MATH-111A,35
MATH-120A,70
MATH-120A,35
MATH-120A,35
MATH-140A,70
MATH-140A,35
MATH-140A,35
MATH-140A,70
MATH-140A,35
MATH-140A,35
MATH-142A,70
MATH-142A,35
MATH-142A,35
MATH-142A,70
MATH-142A,35
MATH-142A,35
MATH-142A,70
MATH-142A,35
MATH-142A,35
MATH-150A,70
MATH-150A,35
MATH-150A,35
MATH-152,50
MATH-152,50
MATH-153,35
MATH-153,35
MATH-154,148
MATH-154,37
MATH-154,37
MATH-154,37
MATH-154,37
MATH-170A,140
MATH-170A,35
MATH-170A,35
MATH-170A,35
MATH-170A,140
MATH-170A,35
MATH-170A,35
MATH-170A,35
MATH-173A,90
MATH-173A,15
MATH-173A,15
MATH-173A,15
MATH-173A,15
MATH-173A,15
MATH-173A,15
MATH-173A,70
MATH-173A,17
MATH-173A,17
MATH-173A,18
MATH-173A,18
MATH-180A,100
MATH-180A,25
MATH-180A,25
MATH-180A,25
MATH-180A,100
MATH-180A,25
MATH-180A,25
MATH-180A,25
MATH-180A,150
MATH-180A,25
MATH-180A,25
MATH-180A,25
MATH-180A,25
MATH-180A,25
MATH-180A,25
MATH-180C,90
MATH-180C,30
MATH-180C,30
MATH-180C,30
MATH-181B,90
MATH-181B,30
MATH-181B,30
MATH-181B,30
MATH-183,150
MATH-183,25
MATH-183,25
MATH-183,25
MATH-183,25
MATH-183,25
MATH-183,25
MATH-184,140
MATH-184,35
MATH-184,35
MATH-184,35
MATH-184,35
MATH-187A,100
MATH-187A,25
MATH-187A,25
MATH-187A,25
MATH-187A,25
MATH-187B,70
MATH-187B,35
MATH-187B,35
MATH-188,35
MATH-188,35
MATH-189,146
MATH-189,36
MATH-189,146
MATH-189,36
MATH-189,37
MATH-189,37
MATH-190A,35
MATH-190A,35
MATH-196,40
MATH-197,999
MATH-200A,20
MATH-202A,20
MATH-203A,20
MATH-204A,20
MATH-208,10
MATH-209,10
MATH-210A,20
MATH-211A,10
MATH-211B,10
MATH-218,10
MATH-220A,20
MATH-231A,20
MATH-240A,20
MATH-243,10
MATH-248,10
MATH-250A,20
MATH-257A,20
MATH-258,10
MATH-259A,20
MATH-264A,20
MATH-269,10
MATH-270A,20
MATH-272A,15
MATH-278A,10
MATH-278B,10
MATH-278C,10
MATH-280A,20
MATH-281A,20
MATH-282A,20
MATH-283,20
MATH-286,20
MATH-288,10
MATH-290A,20
MATH-292,10
MATH-295,15
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
MATH-299,999
