module_code,capacity
JAPN-010A,15
JAPN-010A,30
JAPN-010A,15
JAPN-010A,15
JAPN-010A,25
JAPN-010A,25
JAPN-010A,30
JAPN-010A,15
JAPN-010A,15
JAPN-010A,30
JAPN-010A,15
JAPN-010A,15
JAPN-010A,25
JAPN-010A,25
JAPN-010A,25
JAPN-010A,25
JAPN-010A,25
JAPN-010A,25
JAPN-020A,20
JAPN-020A,20
JAPN-020A,30
JAPN-020A,15
JAPN-020A,15
JAPN-020A,30
JAPN-020A,15
JAPN-020A,15
JAPN-020A,30
JAPN-020A,15
JAPN-020A,15
JAPN-020A,30
JAPN-020A,15
JAPN-020A,15
JAPN-020A,20
JAPN-020A,20
JAPN-130A,20
JAPN-130A,20
JAPN-130A,20
JAPN-130A,20
JAPN-135A,20
JAPN-137A,20
JAPN-140A,20
JWSP-001,20
JWSP-001,20
JWSP-104,15
JWSP-104,15
LATI-010,280
LATI-010,40
LATI-010,40
LATI-010,40
LATI-010,40
LATI-010,30
LATI-010,30
LATI-010,30
LATI-010,30
LATI-050,120
LATI-050,30
LATI-050,30
LATI-050,30
LATI-050,30
LATI-166,30
LATI-170,30
LATI-180,30
LATI-200,5
LATI-220,10
LATI-220,10
LIAB-001A,14
LIAB-001A,14
LIAB-001AX,28
LIAB-001AX,28
LIAB-001D,22
LIAB-001DX,22
LIFR-001A,14
LIFR-001A,14
LIFR-001A,14
LIFR-001A,14
LIFR-001A,14
LIFR-001AX,21
LIFR-001AX,21
LIFR-001AX,28
LIFR-001B,14
LIFR-001B,14
LIFR-001BX,28
LIFR-001D,14
LIFR-001D,14
LIFR-001D,14
LIFR-001DX,21
LIFR-001DX,21
LIFR-011,10
LIGM-001A,14
LIGM-001A,14
LIGM-001A,14
LIGM-001A,14
LIGM-001AX,28
LIGM-001AX,28
LIGM-011,10
LIGN-005,120
LIGN-007,120
LIGN-008,250
LIGN-017,250
LIGN-103,90
LIGN-103,23
LIGN-103,23
LIGN-103,22
LIGN-103,22
LIGN-130,50
LIGN-130,25
LIGN-130,25
LIGN-139,17
LIGN-139,17
LIGN-150,40
LIGN-167,110
LIGN-171,60
LIGN-171,60
LIGN-175,60
LIGN-188R,40
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,10
LIGN-199,20
LIGN-199,10
LIGN-199,30
LIGN-200,25
LIGN-221,10
LIGN-230,20
LIGN-241,15
LIGN-241,15
LIGN-256,5
LIGN-293,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-296,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-299,10
LIGN-500,10
LIGN-500,10
LIGN-502,10
LIGN-502,10
LIGN-502,10
LIGN-502,10
LIGN-502,10
LIGN-502,10
LIGN-502,10
LIGN-502,10
LIGN-502,10
LIGN-503,10
LIGN-504,10
LIGN-505,10
LIGN-506,10
LIGN-507,30
LIGN-508,10
LIGN-509,10
LIGN-510,10
LIGN-511,10
LIHL-112F,28
LIHL-114F,28
LIHL-117F,28
LIHL-118F,28
LIHL-124F,28
LIHL-132F,28
LIHL-134F,28
LIIT-001A,14
LIIT-001A,14
LIIT-001A,14
LIIT-001A,14
LIIT-001AX,28
LIIT-001AX,28
LIPO-001A,14
LIPO-001A,14
LIPO-001AX,14
LIPO-001AX,14
LIPO-001D,14
