term_code,subject_code,course_code,class_name,course_title,academic_level,section_id,section_ref,section_code,instruction_type_name,instructors_text,seats_available,waitlist_available,meeting_kind,day_code,day_name,specific_date,start_time_display,end_time_display,building_code,room_code,is_remote,is_tba
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001140,FA26:EL00001140,005-000-IN,in,Samuel Museus,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001141,FA26:EL00001141,006-000-IN,in,Holly Okonkwo,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001142,FA26:EL00001142,007-000-IN,in,Shaista Patel,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001143,FA26:EL00001143,008-000-IN,in,Roy Perez,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001144,FA26:EL00001144,009-000-IN,in,Christopher Perreira,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001145,FA26:EL00001145,010-000-IN,in,Christen Sasaki,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001146,FA26:EL00001146,011-000-IN,in,Shelley Streeby,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001147,FA26:EL00001147,012-000-IN,in,Daphne Taylor García,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,299,ETHN 299,Thesis Research,GR,EL00001148,FA26:EL00001148,013-000-IN,in,Brenda Wilson,1,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,500,ETHN 500,Apprntice Teaching/Ethn Stdies,GR,EL00001149,FA26:EL00001149,001-000-IN,in,Shaista Patel,8,,class,,,,tba,tba,tba,tba,0,1
FA26,ETHN,500,ETHN 500,Apprntice Teaching/Ethn Stdies,GR,EL00001150,FA26:EL00001150,002-000-IN,in,Christen Sasaki,2,,class,,,,tba,tba,tba,tba,0,1
FA26,ETIM,289,ETIM 289,Interdis Methds Sem Spec Topic,GR,E 00002807,FA26:E 00002807,001-000-SE,se,Jose Fuste,1,,class,W,Wednesday,,9:30am,12:20pm,SSB,SSB 103,0,0
FA26,FILM,071,FILM 071,Fundamentals of Cinematography,LD,E 00000139,FA26:E 00000139,001-000-LE,lecture,Rajee Samarasinghe,11,,class,M,Monday,,1:00pm,3:50pm,MCC,MCC 222,0,0
FA26,FILM,071,FILM 071,Fundamentals of Cinematography,LD,E 00000141,FA26:E 00000141,001-001-LA,lab,Rajee Samarasinghe,11,,class,W,Wednesday,,2:00pm,3:50pm,MCC,MCC 140,0,0
FA26,FILM,071,FILM 071,Fundamentals of Cinematography,LD,E 00000140,FA26:E 00000140,002-000-LE,lecture,Rajee Samarasinghe,11,,class,M,Monday,,4:00pm,6:50pm,MCC,MCC 222,0,0
FA26,FILM,071,FILM 071,Fundamentals of Cinematography,LD,E 00000142,FA26:E 00000142,002-001-LA,lab,Rajee Samarasinghe,11,,class,W,Wednesday,,4:00pm,5:50pm,MCC,MCC 140,0,0
FA26,FILM,072,FILM 072,Fundamentals of Directing,LD,E 00000143,FA26:E 00000143,001-000-LE,lecture,Jackson Kroopf,11,,class,T,Tuesday,,12:00pm,2:50pm,MCC,MCC 221,0,0
FA26,FILM,072,FILM 072,Fundamentals of Directing,LD,E 00000145,FA26:E 00000145,001-001-LA,lab,Jackson Kroopf,11,,class,R,Thursday,,12:00pm,1:50pm,MCC,MCC 140,0,0
FA26,FILM,072,FILM 072,Fundamentals of Directing,LD,E 00000144,FA26:E 00000144,002-000-LE,lecture,Jackson Kroopf,11,,class,T,Tuesday,,3:00pm,5:50pm,MCC,MCC 221,0,0
FA26,FILM,072,FILM 072,Fundamentals of Directing,LD,E 00000146,FA26:E 00000146,002-001-LA,lab,Jackson Kroopf,11,,class,R,Thursday,,3:00pm,4:50pm,MCC,MCC 140,0,0
FA26,FILM,073,FILM 073,Fundamentals of Editing,LD,E 00000147,FA26:E 00000147,001-000-LE,lecture,Ryan Betschart,11,,class,T,Tuesday,,3:30pm,6:20pm,MANDE,MANDE 103,0,0
FA26,FILM,073,FILM 073,Fundamentals of Editing,LD,E 00000149,FA26:E 00000149,001-001-LA,lab,Ryan Betschart,11,,class,R,Thursday,,4:30pm,6:20pm,MANDE,MANDE B-206,0,0
FA26,FILM,073,FILM 073,Fundamentals of Editing,LD,E 00000148,FA26:E 00000148,002-000-LE,lecture,Ryan Betschart,11,,class,T,Tuesday,,6:30pm,9:20pm,MANDE,MANDE 103,0,0
FA26,FILM,073,FILM 073,Fundamentals of Editing,LD,E 00000150,FA26:E 00000150,002-001-LA,lab,Ryan Betschart,11,,class,R,Thursday,,6:30pm,8:20pm,MANDE,MANDE B-206,0,0
FA26,FILM,087,FILM 087,First-year Seminar,LD,E 00000151,FA26:E 00000151,001-000-SE,se,Babak Rahimi,20,,class,R,Thursday,,2:00pm,2:50pm,MCC,MCC 221,0,0
FA26,FILM,087,FILM 087,First-year Seminar,LD,E 00000152,FA26:E 00000152,002-000-SE,se,Babak Rahimi,20,,class,R,Thursday,,3:00pm,3:50pm,MCC,MCC 221,0,0
FA26,FILM,179,FILM 179,Fundamentals of Animation,UD,E 00000153,FA26:E 00000153,001-000-ST,st,Marty Davis,22,,class,T,Tuesday,,3:30pm,6:20pm,MANDE,MANDE B-206,0,0
FA26,FPM,286,FPM 286,Free Clinic II,GR,EL00002575,FA26:EL00002575,001-000-CL,cl,Michelle Johnson,120,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,296,FPM 296,Community Med Independnt Rsrch,GR,EL00002576,FA26:EL00002576,001-000-IN,in,Regina Wang,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,296,FPM 296,Community Med Independnt Rsrch,GR,EL00002577,FA26:EL00002577,002-000-IN,in,,5,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,299,FPM 299,Comm/Fam Med Indepndnt Stu-ISP,GR,EL00002578,FA26:EL00002578,001-000-IN,in,Allison Lynch,5,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,299,FPM 299,Comm/Fam Med Indepndnt Stu-ISP,GR,EL00002579,FA26:EL00002579,002-000-IN,in,,5,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,401,FPM 401,Family Medicine Core Clerkship,GR,EL00002530,FA26:EL00002530,001-000-CL,cl,Allison Lynch,50,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,410,FPM 410,Intro to Underserved Medicine,GR,EL00002531,FA26:EL00002531,001-000-CL,cl,Michelle Johnson,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,411,FPM 411,Adolescent/School-Based Health,GR,EL00002532,FA26:EL00002532,001-000-CL,cl,Natalie Rodriguez,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,412,FPM 412,Intro to Integrative Medicine,GR,EL00002533,FA26:EL00002533,001-000-CL,cl,Megan Jolicoeur,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,413,FPM 413,Med Spanish/Future Clinicians,GR,EL00002534,FA26:EL00002534,001-000-LE,lecture,Natalie Rodriguez,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,413,FPM 413,Med Spanish/Future Clinicians,GR,EL00002535,FA26:EL00002535,001-001-CL,cl,Natalie Rodriguez,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,413,FPM 413,Med Spanish/Future Clinicians,GR,EL00002536,FA26:EL00002536,001-001-PR,pr,Natalie Rodriguez,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,419,FPM 419,Medical Education Teaching Ele,GR,EL00002537,FA26:EL00002537,001-000-CL,cl,Natalie Rodriguez,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,420,FPM 420,Indigenous Medicine Clerkship,GR,EL00002538,FA26:EL00002538,001-000-CL,cl,Tommi Gaines,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,426,FPM 426,Family Medicine Clerkship,GR,EL00002539,FA26:EL00002539,001-000-CL,cl,Allison Lynch,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,426,FPM 426,Family Medicine Clerkship,GR,EL00002540,FA26:EL00002540,001-001-SE,se,Allison Lynch,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,431,FPM 431,Sports Medicine,GR,EL00002541,FA26:EL00002541,001-000-CL,cl,Suraj Achar,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,431T,FPM 431T,Sports Medicine Selective,GR,EL00002542,FA26:EL00002542,001-000-CL,cl,Suraj Achar,7,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,432,FPM 432,Underserved Medicine Clerkship,GR,EL00002543,FA26:EL00002543,001-000-CL,cl,Michelle Johnson,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,441,FPM 441,Family Medicine Subinternship,GR,EL00002544,FA26:EL00002544,001-000-CL,cl,Julia McPherson,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,442,FPM 442,Comm Based Family Med Subintrn,GR,EL00002545,FA26:EL00002545,001-000-CL,cl,Natalie Rodriguez,10,,class,,,,tba,tba,tba,tba,0,1
FA26,FPM,496,FPM 496,Clinical Independent Study,GR,EL00002546,FA26:EL00002546,001-000-IN,in,Melanie Fiorella,10,,class,,,,tba,tba,tba,tba,0,1
FA26,GLBH,020,GLBH 020,Introduction to Global Health,LD,E 00000345,FA26:E 00000345,001-000-LE,lecture,Nile El Wardani,146,,class,R,Thursday,,11:00am,12:20pm,SOLIS,SOLIS 104,0,0
FA26,GLBH,020,GLBH 020,Introduction to Global Health,LD,E 00000345,FA26:E 00000345,001-000-LE,lecture,Nile El Wardani,146,,class,T,Tuesday,,11:00am,12:20pm,SOLIS,SOLIS 104,0,0
