term_code,subject_code,course_code,class_name,course_title,academic_level,section_id,section_ref,section_code,instruction_type_name,instructors_text,seats_available,waitlist_available,meeting_kind,day_code,day_name,specific_date,start_time_display,end_time_display,building_code,room_code,is_remote,is_tba
FA26,TDDR,101,TDDR 101,Stage Management,UD,E 00003484,FA26:E 00003484,001-000-LE,lecture,Lora Powell,20,,class,T,Tuesday,,11:00am,12:20pm,GH,GH 254,0,0
FA26,TDDR,108,TDDR 108,Text Analysis/Actors&Directors,UD,E 00001315,FA26:E 00001315,001-000-LE,lecture,Lisa Portes,20,,class,R,Thursday,,11:00am,12:20pm,SSB,SSB 106,0,0
FA26,TDDR,108,TDDR 108,Text Analysis/Actors&Directors,UD,E 00001315,FA26:E 00001315,001-000-LE,lecture,Lisa Portes,20,,class,T,Tuesday,,11:00am,12:20pm,SSB,SSB 106,0,0
FA26,TDDR,108,TDDR 108,Text Analysis/Actors&Directors,UD,E 00001315,FA26:E 00001315,001-000-LE,lecture,Lisa Portes,20,,final,W,Wednesday,2026-12-09,11:30am,2:29pm,SSB,SSB 106,0,0
FA26,TDDR,190,TDDR 190,Major Project in Directing,UD,E 00004539,FA26:E 00004539,001-000-ST,st,Lamar Perry,35,,class,F,Friday,,6:30pm,10:20pm,,,0,0
FA26,TDDR,190,TDDR 190,Major Project in Directing,UD,E 00004539,FA26:E 00004539,001-000-ST,st,Lamar Perry,35,,class,R,Thursday,,6:30pm,10:20pm,,,0,0
FA26,TDDR,190,TDDR 190,Major Project in Directing,UD,E 00004539,FA26:E 00004539,001-000-ST,st,Lamar Perry,35,,class,T,Tuesday,,6:30pm,10:20pm,,,0,0
FA26,TDDR,190,TDDR 190,Major Project in Directing,UD,E 00004539,FA26:E 00004539,001-000-ST,st,Lamar Perry,35,,class,W,Wednesday,,6:30pm,10:20pm,,,0,0
FA26,TDGE,001,TDGE 001,Introduction to Theatre,LD,E 00001302,FA26:E 00001302,001-000-LE,lecture,Todd Salovey,72,,class,M,Monday,,12:00pm,12:50pm,YORK,YORK 2622,0,0
FA26,TDGE,001,TDGE 001,Introduction to Theatre,LD,E 00001302,FA26:E 00001302,001-000-LE,lecture,Todd Salovey,72,,class,W,Wednesday,,12:00pm,12:50pm,YORK,YORK 2622,0,0
FA26,TDGE,001,TDGE 001,Introduction to Theatre,LD,E 00001302,FA26:E 00001302,001-000-LE,lecture,Todd Salovey,72,,final,R,Thursday,2026-12-10,11:30am,2:29pm,YORK,YORK 2622,0,0
FA26,TDGE,001,TDGE 001,Introduction to Theatre,LD,E 00001303,FA26:E 00001303,001-001-DI,discussion,Todd Salovey,12,,class,F,Friday,,9:00am,9:50am,GH,GH 320,0,0
FA26,TDGE,001,TDGE 001,Introduction to Theatre,LD,E 00001304,FA26:E 00001304,001-002-DI,discussion,Todd Salovey,12,,class,F,Friday,,10:00am,10:50am,GH,GH 320,0,0
